STATUS	DIR	ALT_FILE	NOTE
DIFF	./case0001241	index-from-root-p1241.html	see alt_index_diff.log
DIFF	./news/news0003465	index-from-root-p3465.html	see alt_index_diff.log
DIFF	./news/news0003409	index-from-root-p3409.html	see alt_index_diff.log
DIFF	./news/news0003604	index-from-root-p3604.html	see alt_index_diff.log
DIFF	./news/news0004074	index-from-root-p4074.html	see alt_index_diff.log
DIFF	./news/news0003497	index-from-root-p3497.html	see alt_index_diff.log
DIFF	./news/news0002452	index-from-root-p2452.html	see alt_index_diff.log
DIFF	./news/news0003978	index-from-root-p3978.html	see alt_index_diff.log
DIFF	./news/news0002462	index-from-root-p2462.html	see alt_index_diff.log
DIFF	./news/news0002465	index-from-root-p2465.html	see alt_index_diff.log
DIFF	./news/news0003588	index-from-root-p3588.html	see alt_index_diff.log
DIFF	./news/news0003379	index-from-root-p3379.html	see alt_index_diff.log
DIFF	./news/news0002436	index-from-root-p2436.html	see alt_index_diff.log
DIFF	./news/news0003535	index-from-root-p3535.html	see alt_index_diff.log
DIFF	./news/news0003337	index-from-root-p3337.html	see alt_index_diff.log
DIFF	./news/news0002440	index-from-root-p2440.html	see alt_index_diff.log
DIFF	./news/news0003566	index-from-root-p3566.html	see alt_index_diff.log
DIFF	./news/news0002449	index-from-root-p2449.html	see alt_index_diff.log
DIFF	./news/news0002446	index-from-root-p2446.html	see alt_index_diff.log
DIFF	./news/news0003402	index-from-root-p3402.html	see alt_index_diff.log
DIFF	./news/news0003523	index-from-root-p3523.html	see alt_index_diff.log
DIFF	./news/news0003515	index-from-root-p3515.html	see alt_index_diff.log
DIFF	./news/news0004103	index-from-root-p4103.html	see alt_index_diff.log
DIFF	./news/news0002456	index-from-root-p2456.html	see alt_index_diff.log
DIFF	./news/news0004167	index-from-root-p4167.html	see alt_index_diff.log
DIFF	./news/news0003124	index-from-root-p3124.html	see alt_index_diff.log
DIFF	./news/news0002459	index-from-root-p2459.html	see alt_index_diff.log
DIFF	./news/news0002443	index-from-root-p2443.html	see alt_index_diff.log
DIFF	./news/news0002475	index-from-root-p2475.html	see alt_index_diff.log
DIFF	./news/news0003305	index-from-root-p3305.html	see alt_index_diff.log
DIFF	./news/news0003704	index-from-root-p3704.html	see alt_index_diff.log
DIFF	./news/news0003367	index-from-root-p3367.html	see alt_index_diff.log
DIFF	./news/news0003138	index-from-root-p3138.html	see alt_index_diff.log
DIFF	./news/news0004203	index-from-root-p4203.html	see alt_index_diff.log
DIFF	./news/news0004266	index-from-root-p4266.html	see alt_index_diff.log
DIFF	./news/news0003625	index-from-root-p3625.html	see alt_index_diff.log
DIFF	./news/news0003417	index-from-root-p3417.html	see alt_index_diff.log
DIFF	./case/case0001247	index-from-root-p1247.html	see alt_index_diff.log
DIFF	./case/case0001223	index-from-root-p1223.html	see alt_index_diff.log
DIFF	./case/case0001164	index-from-root-p1164.html	see alt_index_diff.log
DIFF	./case/case0001190	index-from-root-p1190.html	see alt_index_diff.log
DIFF	./case/case0001196	index-from-root-p1196.html	see alt_index_diff.log
DIFF	./case/case0001171	index-from-root-p1171.html	see alt_index_diff.log
DIFF	./case/case0001178	index-from-root-p1178.html	see alt_index_diff.log
DIFF	./case/case0001208	index-from-root-p1208.html	see alt_index_diff.log
DIFF	./case/case0001253	index-from-root-p1253.html	see alt_index_diff.log
DIFF	./case/case0001238	index-from-root-p1238.html	see alt_index_diff.log
DIFF	./case/case0001244	index-from-root-p1244.html	see alt_index_diff.log
DIFF	./case/case0001217	index-from-root-p1217.html	see alt_index_diff.log
DIFF	./case/case0001226	index-from-root-p1226.html	see alt_index_diff.log
DIFF	./case/case0001220	index-from-root-p1220.html	see alt_index_diff.log
DIFF	./case/case0001211	index-from-root-p1211.html	see alt_index_diff.log
DIFF	./case/case0001193	index-from-root-p1193.html	see alt_index_diff.log
DIFF	./case/case0001181	index-from-root-p1181.html	see alt_index_diff.log
DIFF	./case/case0001187	index-from-root-p1187.html	see alt_index_diff.log
DIFF	./case/case0001174	index-from-root-p1174.html	see alt_index_diff.log
DIFF	./case/case0001205	index-from-root-p1205.html	see alt_index_diff.log
DIFF	./case/case0001202	index-from-root-p1202.html	see alt_index_diff.log
DIFF	./case/case0001256	index-from-root-p1256.html	see alt_index_diff.log
DIFF	./case/case0001232	index-from-root-p1232.html	see alt_index_diff.log
DIFF	./case/case0001235	index-from-root-p1235.html	see alt_index_diff.log
DIFF	./case/case0001259	index-from-root-p1259.html	see alt_index_diff.log
DIFF	./case/case0001250	index-from-root-p1250.html	see alt_index_diff.log
